Country,Total Sales ($),Estimated Profit ($),Unique Customers,Revenue per Customer ($),Avg Transaction Value ($)
US,43030,15060.5,534,80.58,20.03
CA,8553,2993.55,91,93.99,20.86
IN,8480,2968.0,121,70.08,19.86
GB,3197,1118.95,44,72.66,19.38
JP,1960,686.0,29,67.59,19.03
FR,1946,681.1,29,67.1,16.92
ES,1794,627.9,26,69.0,16.92
CN,1727,604.45,17,101.59,23.03
TW,1587,555.45,25,63.48,17.44
TR,1566,548.1,17,92.12,19.33
DE,1330,465.5,19,70.0,17.27
BR,1234,431.9,11,112.18,18.15
IT,1210,423.5,18,67.22,18.33
SG,1141,399.35,16,71.31,16.78
KR,955,334.25,15,63.67,21.7
AU,897,313.95,14,64.07,17.94
MY,787,275.45,5,157.4,17.11
HK,770,269.5,5,154.0,25.67
MX,769,269.15,9,85.44,24.81
NL,769,269.15,13,59.15,19.23
GR,743,260.05,8,92.88,17.69
ID,725,253.75,8,90.62,15.76
RU,650,227.5,10,65.0,19.12
IE,634,221.9,8,79.25,23.48
TH,630,220.5,9,70.0,21.0
PL,593,207.55,10,59.3,21.96
VN,582,203.7,3,194.0,20.79
PH,519,181.65,4,129.75,17.9
SE,458,160.3,9,50.89,12.38
CO,431,150.85,7,61.57,25.35
FI,321,112.35,7,45.86,22.93
SI,276,96.6,4,69.0,8.9
PT,252,88.2,6,42.0,15.75
AR,247,86.45,3,82.33,11.76
IL,240,84.0,4,60.0,16.0
NG,235,82.25,4,58.75,18.08
SA,222,77.7,2,111.0,31.71
RO,215,75.25,3,71.67,26.88
CH,215,75.25,4,53.75,9.77
MK,204,71.4,2,102.0,22.67
SV,176,61.6,1,176.0,29.33
SK,168,58.8,1,168.0,24.0
PK,167,58.45,4,41.75,20.88
UA,155,54.25,3,51.67,22.14
DK,154,53.9,4,38.5,15.4
CZ,152,53.2,1,152.0,38.0
DO,150,52.5,1,150.0,15.0
NZ,139,48.65,2,69.5,23.17
EG,130,45.5,3,43.33,11.82
KZ,120,42.0,1,120.0,15.0
MN,118,41.3,2,59.0,23.6
PR,111,38.85,1,111.0,27.75
AT,106,37.1,3,35.33,21.2
CL,89,31.15,2,44.5,29.67
DZ,83,29.05,2,41.5,27.67
UY,82,28.7,2,41.0,11.71
AE,79,27.65,2,39.5,39.5
PE,75,26.25,2,37.5,12.5
BD,73,25.55,1,73.0,9.12
LK,72,25.2,1,72.0,36.0
LT,66,23.1,2,33.0,22.0
TN,63,22.05,1,63.0,63.0
NO,62,21.7,1,62.0,20.67
RS,51,17.85,1,51.0,12.75
BA,48,16.8,1,48.0,16.0
KE,48,16.8,1,48.0,24.0
PA,46,16.1,1,46.0,15.33
KH,45,15.75,1,45.0,15.0
HR,32,11.2,1,32.0,32.0
MA,26,9.1,1,26.0,13.0
CR,24,8.4,1,24.0,24.0
BE,24,8.4,1,24.0,24.0
BG,20,7.0,1,20.0,10.0
XK,20,7.0,1,20.0,6.67
HN,14,4.9,1,14.0,14.0
